Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:05:42.941	00:05:43.869	00:00:00.928	ma		
00:05:42.941	00:05:45.245	00:00:02.304		ma pa	
00:05:43.869	00:05:45.245	00:00:01.376	pa		
00:05:46.235	00:05:47.194	00:00:00.959	dha		
00:05:46.235	00:05:49.106	00:00:02.871		dha ni sa	
00:05:47.194	00:05:47.976	00:00:00.782	ni		
00:05:47.976	00:05:49.106	00:00:01.130	sa		
00:05:50.535	00:05:51.447	00:00:00.912	ga		
00:05:50.539	00:05:52.738	00:00:02.199		ga ma ga ri	
00:05:51.447	00:05:51.941	00:00:00.494	ma		
00:05:51.941	00:05:52.423	00:00:00.482	ga		
00:05:52.423	00:05:52.735	00:00:00.312	ri		
00:05:52.905	00:05:53.336	00:00:00.431	sa		
00:05:53.336	00:05:53.872	00:00:00.536	ri		
00:05:53.872	00:05:54.815	00:00:00.943	ni		
00:05:54.826	00:05:55.136	00:00:00.310	sa		
00:05:55.357	00:05:55.803	00:00:00.446	ni		
00:05:55.803	00:05:56.197	00:00:00.394	sa		
00:05:56.197	00:05:56.644	00:00:00.447	ri		
00:05:56.644	00:05:57.186	00:00:00.542	ga		
00:05:57.186	00:05:58.056	00:00:00.870	ma		
00:05:58.056	00:05:58.572	00:00:00.516	pa		
00:05:58.572	00:05:58.978	00:00:00.406	ga		
00:05:58.978	00:05:59.325	00:00:00.347	ri		
00:05:59.543	00:05:59.984	00:00:00.441	ga		
00:05:59.547	00:06:01.343	00:00:01.796		ga ma pa	
00:05:59.984	00:06:00.472	00:00:00.488	ma		
00:06:00.472	00:06:01.339	00:00:00.867	pa		
00:06:01.339	00:06:01.816	00:00:00.477	dha		
00:06:01.816	00:06:02.292	00:00:00.476	ma		
00:06:02.292	00:06:02.763	00:00:00.471	ga		
00:06:02.763	00:06:03.133	00:00:00.370	ri		
00:06:03.133	00:06:03.539	00:00:00.406	sa		
00:06:03.697	00:06:04.671	00:00:00.974	ga		
00:06:04.671	00:06:05.253	00:00:00.582	ma		
00:06:05.261	00:06:05.665	00:00:00.404	ga		
00:06:05.665	00:06:05.988	00:00:00.323	ri		
00:06:06.155	00:06:06.555	00:00:00.400	sa		
00:06:06.555	00:06:07.067	00:00:00.512	ri		
00:06:07.067	00:06:08.073	00:00:01.006	ni		
00:06:08.073	00:06:08.484	00:00:00.411	sa		
00:06:08.484	00:06:08.908	00:00:00.424	ni		
00:06:08.908	00:06:09.272	00:00:00.364	sa		
00:06:09.537	00:06:09.919	00:00:00.382	ri		
00:06:09.919	00:06:10.250	00:00:00.331	ga		
00:06:10.396	00:06:11.114	00:00:00.718	ma		
00:06:11.114	00:06:11.749	00:00:00.635	pa		
00:06:11.749	00:06:12.102	00:00:00.353	ga		
00:06:12.102	00:06:12.467	00:00:00.365	ri		
00:06:12.620	00:06:13.055	00:00:00.435	ga		
00:06:12.631	00:06:14.678	00:00:02.047		ga ma pa	
00:06:13.055	00:06:13.678	00:00:00.623	ma		
00:06:13.678	00:06:14.672	00:00:00.994	pa		
00:06:14.672	00:06:15.018	00:00:00.346	dha		
00:06:15.018	00:06:15.442	00:00:00.424	ma		
00:06:15.442	00:06:15.953	00:00:00.511	ga		
00:06:15.953	00:06:16.336	00:00:00.383	ri		
00:06:16.336	00:06:16.712	00:00:00.376	sa		
00:06:16.858	00:06:17.834	00:00:00.976	ni		
00:06:17.834	00:06:18.275	00:00:00.441	sa		
00:06:18.275	00:06:18.819	00:00:00.544	ni		
00:06:18.279	00:06:20.681	00:00:02.402		ni ga ri	
00:06:19.205	00:06:20.262	00:00:01.057	 ga		
00:06:20.262	00:06:20.684	00:00:00.422	ri		
00:06:20.684	00:06:21.348	00:00:00.664	ga		
00:06:21.583	00:06:22.595	00:00:01.012	ma 		
00:06:22.595	00:06:22.966	00:00:00.371	pa		
00:06:22.597	00:06:26.523	00:00:03.926			pa dha ni ni dha pa
00:06:22.966	00:06:23.459	00:00:00.493	dha		
00:06:23.459	00:06:24.429	00:00:00.970	ni		
00:06:24.429	00:06:25.381	00:00:00.952	ni		
00:06:24.434	00:06:26.516	00:00:02.082		ni dha pa	
00:06:25.381	00:06:25.711	00:00:00.330	dha		
00:06:25.763	00:06:26.512	00:00:00.749	pa		
00:06:26.760	00:06:27.771	00:00:01.011	pa		
00:06:27.771	00:06:28.665	00:00:00.894	ma		
00:06:28.665	00:06:29.195	00:00:00.530	ga		
00:06:29.195	00:06:29.665	00:00:00.470	ri		
00:06:29.665	00:06:30.061	00:00:00.396	sa		
00:06:30.214	00:06:30.837	00:00:00.623	ri		
00:06:30.217	00:06:32.427	00:00:02.210		ri sa ni	
00:06:30.837	00:06:31.573	00:00:00.736	sa		
00:06:31.573	00:06:32.424	00:00:00.851	ni		
00:06:32.596	00:06:33.583	00:00:00.987	ni		
00:06:32.596	00:06:34.477	00:00:01.881		ni dha	
00:06:33.583	00:06:34.477	00:00:00.894	dha		
00:06:35.930	00:06:37.059	00:00:01.129	ma		
00:06:35.930	00:06:38.173	00:00:02.243		ma pa	
00:06:37.059	00:06:38.173	00:00:01.114	pa		
00:06:39.051	00:06:40.075	00:00:01.024	dha		
00:06:39.051	00:06:42.063	00:00:03.012		dha ni sa	
00:06:40.075	00:06:40.769	00:00:00.694	ni		
00:06:40.769	00:06:42.063	00:00:01.294	sa		
00:06:43.386	00:06:44.209	00:00:00.823	ma		
00:06:43.388	00:06:46.228	00:00:02.840			ma pa ni dha ma
00:06:44.209	00:06:44.668	00:00:00.459	pa		
00:06:44.668	00:06:45.068	00:00:00.400	ni		
00:06:45.068	00:06:45.550	00:00:00.482	dha		
00:06:45.550	00:06:46.221	00:00:00.671	ma		
00:06:46.616	00:06:46.959	00:00:00.343	pa		
00:06:46.959	00:06:47.450	00:00:00.491	dha		
00:06:47.453	00:06:47.929	00:00:00.476	pa		
00:06:47.929	00:06:48.881	00:00:00.952	ma		
00:06:48.881	00:06:49.279	00:00:00.398	ga		
00:06:49.279	00:06:49.738	00:00:00.459	ri		
00:06:49.738	00:06:50.718	00:00:00.980	ga		
00:06:50.718	00:06:51.236	00:00:00.518	ma		
00:06:51.236	00:06:51.906	00:00:00.670	pa		
00:06:52.306	00:06:52.682	00:00:00.376	ga		
00:06:52.316	00:06:54.484	00:00:02.168		ga ma pa	
00:06:52.682	00:06:53.212	00:00:00.530	ma		
00:06:53.212	00:06:59.297	00:00:06.085	pa		
00:07:00.082	00:07:02.861	00:00:02.779			ma pa ni dha ma
00:07:00.085	00:07:00.815	00:00:00.730	ma		
00:07:00.815	00:07:01.306	00:00:00.491	pa		
00:07:01.309	00:07:01.763	00:00:00.454	ni		
00:07:01.763	00:07:02.276	00:00:00.513	dha		
00:07:02.276	00:07:02.862	00:00:00.586	ma		
00:07:03.320	00:07:03.697	00:00:00.377	pa		
00:07:03.697	00:07:04.144	00:00:00.447	dha		
00:07:04.144	00:07:04.608	00:00:00.464	pa		
00:07:04.612	00:07:05.505	00:00:00.893	ma		
00:07:05.512	00:07:05.996	00:00:00.484	ga		
00:07:05.996	00:07:06.465	00:00:00.469	ri		
00:07:06.465	00:07:07.413	00:00:00.948	ga		
00:07:07.416	00:07:07.848	00:00:00.432	ma		
00:07:07.848	00:07:08.123	00:00:00.275	pa		
00:07:09.833	00:07:10.700	00:00:00.867	ma		
00:07:09.835	00:07:12.657	00:00:02.822			ma pa ni dha ma
00:07:10.700	00:07:11.147	00:00:00.447	pa		
00:07:11.147	00:07:11.601	00:00:00.454	ni		
00:07:11.605	00:07:12.217	00:00:00.612	dha		
00:07:12.217	00:07:12.652	00:00:00.435	ma		
00:07:13.091	00:07:13.421	00:00:00.330	pa		
00:07:13.421	00:07:13.856	00:00:00.435	dha		
00:07:13.856	00:07:14.138	00:00:00.282	pa		
00:07:14.456	00:07:15.444	00:00:00.988	ma		
00:07:15.444	00:07:15.879	00:00:00.435	ga		
00:07:15.879	00:07:16.162	00:00:00.283	ri		
00:07:16.162	00:07:17.143	00:00:00.981	ga		
00:07:17.143	00:07:17.585	00:00:00.442	ma		
00:07:17.585	00:07:17.832	00:00:00.247	pa		
00:07:19.420	00:07:20.442	00:00:01.022	ma		
00:07:19.421	00:07:22.404	00:00:02.983			ma pa ni dha ma
00:07:20.442	00:07:20.719	00:00:00.277	pa 		
00:07:20.723	00:07:21.143	00:00:00.420	ni		
00:07:21.143	00:07:21.788	00:00:00.645	dha		
00:07:21.788	00:07:22.394	00:00:00.606	ma		
00:07:22.611	00:07:23.035	00:00:00.424	pa		
00:07:23.035	00:07:23.453	00:00:00.418	dha		
00:07:23.453	00:07:23.900	00:00:00.447	pa		
00:07:24.094	00:07:25.152	00:00:01.058	ma		
00:07:25.152	00:07:25.505	00:00:00.353	ga		
00:07:25.505	00:07:25.808	00:00:00.303	ri		
00:07:25.808	00:07:26.774	00:00:00.966	ga		
00:07:26.782	00:07:27.328	00:00:00.546	ma		
00:07:27.328	00:07:27.587	00:00:00.259	pa		
00:07:29.139	00:07:31.874	00:00:02.735			ma pa ni dha ma
00:07:29.140	00:07:29.723	00:00:00.583	ma		
00:07:29.848	00:07:30.250	00:00:00.402	pa		
00:07:30.250	00:07:30.664	00:00:00.414	ni		
00:07:30.664	00:07:31.343	00:00:00.679	dha		
00:07:31.346	00:07:31.873	00:00:00.527	ma		
00:07:32.061	00:07:32.520	00:00:00.459	pa		
00:07:32.520	00:07:33.025	00:00:00.505	dha		
00:07:33.025	00:07:33.435	00:00:00.410	pa		
00:07:33.439	00:07:34.638	00:00:01.199	ma		
00:07:34.638	00:07:35.049	00:00:00.411	ga		
00:07:35.049	00:07:35.313	00:00:00.264	ri		
00:07:35.313	00:07:36.225	00:00:00.912	ga		
00:07:36.225	00:07:36.708	00:00:00.483	ma		
00:07:36.708	00:07:37.323	00:00:00.615	pa		
00:07:37.582	00:07:38.003	00:00:00.421	ga		
00:07:37.585	00:07:39.399	00:00:01.814		ga ma pa	
00:07:38.003	00:07:38.516	00:00:00.513	ma		
00:07:38.516	00:07:39.391	00:00:00.875	pa		
00:07:39.394	00:07:39.874	00:00:00.480	ga		
00:07:39.874	00:07:40.252	00:00:00.378	pa		
00:07:40.252	00:07:40.800	00:00:00.548	ma		
00:07:40.800	00:07:41.287	00:00:00.487	ga		
00:07:41.287	00:07:41.734	00:00:00.447	ri		
00:07:41.733	00:07:44.331	00:00:02.598		ni sa ri	
00:07:41.734	00:07:42.701	00:00:00.967	ni		
00:07:42.701	00:07:43.216	00:00:00.515	sa		
00:07:43.216	00:07:45.287	00:00:02.071	ri		
00:07:45.870	00:07:46.339	00:00:00.469	ga		
00:07:46.339	00:07:46.785	00:00:00.446	pa		
00:07:46.785	00:07:47.280	00:00:00.495	ma		
00:07:47.280	00:07:47.761	00:00:00.481	ga		
00:07:47.761	00:07:48.236	00:00:00.475	ri		
00:07:48.236	00:07:50.885	00:00:02.649		ni sa ri	
00:07:48.239	00:07:49.132	00:00:00.893	ni		
00:07:49.132	00:07:49.634	00:00:00.502	sa		
00:07:49.634	00:07:51.259	00:00:01.625	ri		
00:07:52.361	00:07:52.882	00:00:00.521	sa		
00:07:53.070	00:07:53.387	00:00:00.317	pa		
00:07:53.387	00:07:53.800	00:00:00.413	ma		
00:07:53.800	00:07:54.269	00:00:00.469	ga		
00:07:54.269	00:07:54.649	00:00:00.380	ri		
00:07:54.649	00:07:55.535	00:00:00.886	ni		
00:07:54.652	00:07:56.645	00:00:01.993		ni sa ri	
00:07:55.535	00:07:56.036	00:00:00.501	sa		
00:07:56.036	00:07:56.646	00:00:00.610	ri		
00:07:56.918	00:07:57.461	00:00:00.543	ni		
00:07:57.461	00:07:57.889	00:00:00.428	sa		
00:07:57.889	00:07:58.660	00:00:00.771	ri		
00:07:58.782	00:07:59.273	00:00:00.491	ni		
00:07:59.273	00:07:59.723	00:00:00.450	sa		
00:07:59.723	00:08:00.184	00:00:00.461	ri		
00:08:00.184	00:08:00.797	00:00:00.613	ga		
00:08:00.797	00:08:01.177	00:00:00.380	ma		
00:08:01.177	00:08:02.029	00:00:00.852	pa		
00:08:01.180	00:08:04.467	00:00:03.287			pa dha ni sa pa
00:08:02.029	00:08:02.520	00:00:00.491	dha		
00:08:02.520	00:08:02.992	00:00:00.472	 ni		
00:08:02.992	00:08:03.516	00:00:00.524	sa		
00:08:03.516	00:08:04.464	00:00:00.948	pa		
00:08:04.464	00:08:04.952	00:00:00.488	sa		
00:08:04.479	00:08:07.797	00:00:03.318			sa ni dha pa ma ga ri
00:08:04.952	00:08:05.512	00:00:00.560	ni		
00:08:05.512	00:08:06.045	00:00:00.533	dha		
00:08:06.045	00:08:06.421	00:00:00.376	pa		
00:08:06.421	00:08:06.881	00:00:00.460	ma		
00:08:06.881	00:08:07.354	00:00:00.473	ga		
00:08:07.354	00:08:07.797	00:00:00.443	ri		
00:08:07.797	00:08:08.350	00:00:00.553	sa		
00:08:08.350	00:08:08.767	00:00:00.417	pa		
00:08:08.767	00:08:09.250	00:00:00.483	ma		
00:08:09.250	00:08:09.667	00:00:00.417	ga		
00:08:09.667	00:08:10.138	00:00:00.471	ri		
00:08:10.138	00:08:11.047	00:00:00.909	ni		
00:08:10.147	00:08:12.129	00:00:01.982		ni sa ri	
00:08:11.047	00:08:11.549	00:00:00.502	sa		
00:08:11.549	00:08:12.132	00:00:00.583	ri		
00:08:12.321	00:08:12.898	00:00:00.577	ni		
00:08:12.898	00:08:13.361	00:00:00.463	sa		
00:08:13.361	00:08:14.266	00:00:00.905	ri		
00:08:14.266	00:08:14.730	00:00:00.464	ni		
00:08:14.730	00:08:15.172	00:00:00.442	sa		
00:08:15.172	00:08:15.612	00:00:00.440	ri		
00:08:15.612	00:08:16.077	00:00:00.465	ga		
00:08:16.077	00:08:16.548	00:00:00.471	ma		
00:08:16.546	00:08:19.808	00:00:03.262			pa dha ni sa pa
00:08:16.548	00:08:17.468	00:00:00.920	pa		
00:08:17.468	00:08:17.952	00:00:00.484	dha		
00:08:17.952	00:08:18.398	00:00:00.446	ni		
00:08:18.398	00:08:18.889	00:00:00.491	sa		
00:08:18.889	00:08:19.806	00:00:00.917	pa		
00:08:19.806	00:08:20.338	00:00:00.532	sa		
00:08:19.818	00:08:23.151	00:00:03.333			sa ni dha pa ma ga ri
00:08:20.338	00:08:20.811	00:00:00.473	ni		
00:08:20.811	00:08:21.243	00:00:00.432	dha		
00:08:21.243	00:08:21.655	00:00:00.412	pa		
00:08:21.655	00:08:22.161	00:00:00.506	ma		
00:08:22.161	00:08:22.620	00:00:00.459	ga		
00:08:22.620	00:08:23.149	00:00:00.529	ri		
00:08:23.149	00:08:23.741	00:00:00.592	ri		
00:08:23.150	00:08:25.596	00:00:02.446		ri sa ni	
00:08:23.741	00:08:24.561	00:00:00.820	sa		
00:08:24.561	00:08:25.596	00:00:01.035	ni		
00:08:25.596	00:08:26.033	00:00:00.437	ni		
00:08:25.596	00:08:27.713	00:00:02.117		ni dha	
00:08:26.033	00:08:27.713	00:00:01.680	dha		
00:08:28.881	00:08:30.422	00:00:01.541	ma		
00:08:28.885	00:08:31.516	00:00:02.631		ma pa	
00:08:30.422	00:08:31.516	00:00:01.094	pa		
00:08:32.103	00:08:33.067	00:00:00.964	dha		
00:08:32.103	00:08:34.865	00:00:02.762		dha ni sa	
00:08:33.067	00:08:33.878	00:00:00.811	ni		
00:08:33.878	00:08:34.865	00:00:00.987	sa		
00:08:36.585	00:08:39.630	00:00:03.045			ma pa ni dha ma
00:08:36.586	00:08:37.231	00:00:00.645	ma		
00:08:37.239	00:08:37.760	00:00:00.521	pa		
00:08:37.760	00:08:38.202	00:00:00.442	ni		
00:08:38.202	00:08:38.715	00:00:00.513	dha		
00:08:38.911	00:08:39.629	00:00:00.718	ma		
00:08:39.667	00:08:40.099	00:00:00.432	pa		
00:08:40.099	00:08:40.485	00:00:00.386	dha		
00:08:40.494	00:08:40.999	00:00:00.505	pa		
00:08:40.999	00:08:41.869	00:00:00.870	ma		
00:08:41.870	00:08:42.386	00:00:00.516	ga		
00:08:42.391	00:08:42.865	00:00:00.474	ri		
00:08:42.865	00:08:43.766	00:00:00.901	ga		
00:08:43.766	00:08:44.225	00:00:00.459	ma		
00:08:44.238	00:08:46.727	00:00:02.489	pa		
00:08:48.684	00:08:49.086	00:00:00.402	pa		
00:08:49.086	00:08:49.394	00:00:00.308	dha		
00:08:49.394	00:08:50.351	00:00:00.957	ma		
00:08:49.397	00:08:52.609	00:00:03.212			ma pa ni dha ma
00:08:50.351	00:08:50.818	00:00:00.467	pa		
00:08:50.818	00:08:51.164	00:00:00.346	ni		
00:08:51.164	00:08:51.515	00:00:00.351	dha		
00:08:51.870	00:08:52.610	00:00:00.740	ma		
00:08:52.671	00:08:53.108	00:00:00.437	pa		
00:08:53.108	00:08:53.623	00:00:00.515	dha		
00:08:53.623	00:08:54.056	00:00:00.433	pa		
00:08:54.056	00:08:54.930	00:00:00.874	ma		
00:08:54.935	00:08:55.383	00:00:00.448	ga		
00:08:55.383	00:08:55.645	00:00:00.262	ri		
00:08:55.922	00:08:56.900	00:00:00.978	ga		
00:08:56.900	00:08:57.329	00:00:00.429	ma		
00:08:57.342	00:08:58.324	00:00:00.982	pa		
00:08:58.321	00:09:00.594	00:00:02.273		ga ma pa	
00:08:58.324	00:08:58.736	00:00:00.412	ga		
00:08:58.740	00:08:59.272	00:00:00.532	ma		
00:08:59.272	00:09:00.594	00:00:01.322	pa		
00:09:01.811	00:09:02.082	00:00:00.271	pa		
00:09:02.082	00:09:02.438	00:00:00.356	dha		
00:09:02.453	00:09:05.795	00:00:03.342			ma pa ni dha ma
00:09:02.454	00:09:03.407	00:00:00.953	ma		
00:09:03.454	00:09:03.937	00:00:00.483	pa		
00:09:03.943	00:09:04.396	00:00:00.453	ni		
00:09:04.398	00:09:04.835	00:00:00.437	dha		
00:09:05.052	00:09:05.789	00:00:00.737	ma		
00:09:05.796	00:09:06.259	00:00:00.463	pa		
00:09:06.259	00:09:06.701	00:00:00.442	dha		
00:09:06.701	00:09:07.067	00:00:00.366	pa		
00:09:07.369	00:09:08.290	00:00:00.921	ma		
00:09:08.290	00:09:08.787	00:00:00.497	ga 		
00:09:08.787	00:09:09.069	00:00:00.282	ri		
00:09:09.069	00:09:09.976	00:00:00.907	ga		
00:09:09.976	00:09:10.562	00:00:00.586	ma		
00:09:10.562	00:09:12.093	00:00:01.531	pa		
00:09:13.878	00:09:14.543	00:00:00.665	dha		
00:09:14.891	00:09:15.225	00:00:00.334	pa		
00:09:15.225	00:09:15.614	00:00:00.389	dha		
00:09:15.614	00:09:16.438	00:00:00.824	ma		
00:09:15.618	00:09:18.891	00:00:03.273			ma pa ni dha ma
00:09:16.645	00:09:17.001	00:00:00.356	pa		
00:09:17.021	00:09:17.468	00:00:00.447	ni		
00:09:17.484	00:09:18.134	00:00:00.650	dha		
00:09:18.134	00:09:18.891	00:00:00.757	ma		
00:09:18.909	00:09:19.368	00:00:00.459	pa		
00:09:19.368	00:09:19.800	00:00:00.432	dha		
00:09:19.800	00:09:20.069	00:00:00.269	pa		
00:09:20.259	00:09:21.417	00:00:01.158	ma		
00:09:21.417	00:09:21.783	00:00:00.366	ga		
00:09:21.783	00:09:22.116	00:00:00.333	ri		
00:09:22.116	00:09:23.013	00:00:00.897	ga		
00:09:23.013	00:09:23.511	00:00:00.498	ma		
00:09:23.523	00:09:24.063	00:00:00.540	pa		
00:09:24.566	00:09:24.852	00:00:00.286	ga		
00:09:24.571	00:09:26.090	00:00:01.519		ga ma pa	
00:09:24.852	00:09:25.258	00:00:00.406	ma		
00:09:25.258	00:09:26.084	00:00:00.826	pa		
00:09:26.346	00:09:26.783	00:00:00.437	ga		
00:09:26.783	00:09:27.251	00:00:00.468	 pa		
00:09:27.251	00:09:27.666	00:00:00.415	 ma		
00:09:27.666	00:09:28.089	00:00:00.423	ga		
00:09:28.089	00:09:28.578	00:00:00.489	ri		
00:09:28.702	00:09:29.627	00:00:00.925	ni		
00:09:28.705	00:09:31.354	00:00:02.649		ni sa ri	
00:09:29.627	00:09:30.074	00:00:00.447	sa		
00:09:30.090	00:09:32.374	00:00:02.284	ri		
00:09:32.787	00:09:33.268	00:00:00.481	ga		
00:09:33.268	00:09:33.736	00:00:00.468	pa		
00:09:33.736	00:09:34.177	00:00:00.441	ma		
00:09:34.177	00:09:34.584	00:00:00.407	ga		
00:09:34.606	00:09:35.008	00:00:00.402	ri		
00:09:35.125	00:09:36.073	00:00:00.948	ni		
00:09:35.125	00:09:37.596	00:00:02.471		ni sa ri	
00:09:36.073	00:09:36.466	00:00:00.393	sa		
00:09:36.467	00:09:38.969	00:00:02.502	ri		
00:09:39.415	00:09:39.810	00:00:00.395	sa		
00:09:39.810	00:09:40.190	00:00:00.380	pa		
00:09:40.190	00:09:40.608	00:00:00.418	ma		
00:09:40.610	00:09:41.046	00:00:00.436	ga		
00:09:41.116	00:09:41.480	00:00:00.364	ri		
00:09:41.614	00:09:42.489	00:00:00.875	ni  		
00:09:41.614	00:09:43.562	00:00:01.948		ni sa ri	
00:09:42.489	00:09:42.952	00:00:00.463	sa		
00:09:42.952	00:09:43.561	00:00:00.609	ri		
00:09:43.874	00:09:44.391	00:00:00.517	ni		
00:09:44.391	00:09:44.839	00:00:00.448	sa		
00:09:44.839	00:09:45.706	00:00:00.867	ri		
00:09:45.706	00:09:46.204	00:00:00.498	ni		
00:09:46.204	00:09:46.606	00:00:00.402	sa		
00:09:46.606	00:09:46.965	00:00:00.359	ri		
00:09:47.210	00:09:47.497	00:00:00.287	ga		
00:09:47.497	00:09:47.759	00:00:00.262	ma		
00:09:48.077	00:09:48.884	00:00:00.807	pa		
00:09:48.081	00:09:51.265	00:00:03.184			pa dha ni sa pa
00:09:48.884	00:09:49.337	00:00:00.453	 dha		
00:09:49.337	00:09:49.779	00:00:00.442	ni		
00:09:49.779	00:09:50.277	00:00:00.498	sa		
00:09:50.277	00:09:51.265	00:00:00.988	 pa		
00:09:51.265	00:09:51.837	00:00:00.572	sa		
00:09:51.276	00:09:54.605	00:00:03.329			sa ni dha pa ma ga ri
00:09:51.837	00:09:52.264	00:00:00.427	ni		
00:09:52.264	00:09:52.749	00:00:00.485	dha		
00:09:52.749	00:09:53.184	00:00:00.435	pa		
00:09:53.184	00:09:53.648	00:00:00.464	 ma		
00:09:53.648	00:09:54.129	00:00:00.481	 ga		
00:09:54.129	00:09:54.599	00:00:00.470	ri		
00:09:54.599	00:09:54.632	00:00:00.033			
00:09:54.632	00:09:55.203	00:00:00.571	ri		
00:09:54.635	00:09:57.068	00:00:02.433		ri sa ni	
00:09:55.203	00:09:56.082	00:00:00.879	sa		
00:09:56.082	00:09:57.068	00:00:00.986	ni		
00:09:57.068	00:09:57.549	00:00:00.481	ni		
00:09:57.068	00:09:59.374	00:00:02.306		ni dha	
00:09:57.549	00:09:59.374	00:00:01.825	dha		
00:10:00.194	00:10:01.810	00:00:01.616	ma		
00:10:00.199	00:10:03.242	00:00:03.043		ma pa	
00:10:01.810	00:10:03.242	00:00:01.432	pa		
00:10:03.437	00:10:04.289	00:00:00.852	dha		
00:10:03.437	00:10:06.293	00:00:02.856		dha ni sa	
00:10:04.289	00:10:05.078	00:00:00.789	 ni		
00:10:05.078	00:10:06.293	00:00:01.215	sa		
00:10:07.614	00:10:08.483	00:00:00.869	 pa		
00:10:08.483	00:10:08.917	00:00:00.434	dha		
00:10:08.917	00:10:09.414	00:00:00.497	pa		
00:10:09.414	00:10:09.901	00:00:00.487	ma		
00:10:09.901	00:10:10.359	00:00:00.458	ga		
00:10:10.359	00:10:10.809	00:00:00.450	ri		
00:10:10.809	00:10:11.786	00:00:00.977	ga		
00:10:11.786	00:10:12.163	00:00:00.377	ma		
00:10:12.318	00:10:12.897	00:00:00.579	pa		
00:10:13.262	00:10:13.675	00:00:00.413	ma		
00:10:13.675	00:10:14.160	00:00:00.485	ga		
00:10:14.160	00:10:15.065	00:00:00.905	ri		
00:10:15.065	00:10:15.558	00:00:00.493	ga		
00:10:15.558	00:10:16.558	00:00:01.000	ma		
00:10:16.558	00:10:16.987	00:00:00.429	ga		
00:10:16.987	00:10:17.364	00:00:00.377	ri		
00:10:17.523	00:10:18.307	00:00:00.784	ni		
00:10:17.527	00:10:20.159	00:00:02.632		ni sa ri	
00:10:18.307	00:10:18.744	00:00:00.437	sa		
00:10:18.774	00:10:20.157	00:00:01.383	 ri		
00:10:20.634	00:10:21.580	00:00:00.946	ga		
00:10:21.580	00:10:22.090	00:00:00.510	ma		
00:10:22.090	00:10:22.578	00:00:00.488	ga		
00:10:22.578	00:10:22.930	00:00:00.352	ri		
00:10:22.930	00:10:23.885	00:00:00.955	sa		
00:10:24.463	00:10:24.909	00:00:00.446	pa		
00:10:24.909	00:10:25.346	00:00:00.437	ma		
00:10:25.346	00:10:25.737	00:00:00.391	ga		
00:10:25.737	00:10:26.147	00:00:00.410	ri		
00:10:26.147	00:10:27.015	00:00:00.868	sa		
00:10:27.108	00:10:28.034	00:00:00.926	ga		
00:10:28.034	00:10:28.555	00:00:00.521	pa		
00:10:28.555	00:10:29.010	00:00:00.455	ga		
